STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,MEASURE,Measure,IMPORTING_AREA,Importing area,VALUE_ADDED_SOURCE_AREA,Value added origin area,EXPORTING_AREA,Exporting area,EXPORTING_ACTIVITY,Exporting activity,UNIT_MEASURE,Unit of measure,FREQ,Frequency of observation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,UNIT_MULT,Unit multiplier
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,JPN,Japan,W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2003,,5547.495,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,CHN,China (People’s Republic of),W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2003,,2962.785,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,TWN,Chinese Taipei,W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2000,,2092.603,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,JPN,Japan,W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,1998,,4820.742,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,CHN,China (People’s Republic of),W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,1998,,908.859,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,HKG,Hong Kong (China),W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,1997,,82.69,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,TWN,Chinese Taipei,W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,1997,,1312.694,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,TWN,Chinese Taipei,W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,1995,,875.677,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,KOR,Korea,W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2021,,1855.661,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,CHN,China (People’s Republic of),W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2018,,11384.927,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,HKG,Hong Kong (China),W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2018,,41.235,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,TWN,Chinese Taipei,W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2018,,1577.296,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,KOR,Korea,W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2014,,1640.471,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,JPN,Japan,W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2012,,2211.838,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,CHN,China (People’s Republic of),W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2012,,7993.891,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,HKG,Hong Kong (China),W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2012,,64.324,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,TWN,Chinese Taipei,W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2012,,1556.388,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,TWN,Chinese Taipei,W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2011,,1669.991,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,KOR,Korea,W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2003,,2045.748,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,TWN,Chinese Taipei,W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,1996,,1031.594,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,JPN,Japan,W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,1995,,5685.697,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,CHN,China (People’s Republic of),W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,1995,,482.13,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,HKG,Hong Kong (China),W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,1995,,49.449,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,JPN,Japan,W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2021,,1310.616,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,CHN,China (People’s Republic of),W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2021,,17300.354,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,HKG,Hong Kong (China),W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2021,,50.273,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,TWN,Chinese Taipei,W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2021,,2132.075,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,JPN,Japan,W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2016,,1982.721,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,CHN,China (People’s Republic of),W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2016,,9261.562,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,HKG,Hong Kong (China),W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2016,,57.711,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,TWN,Chinese Taipei,W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,2016,,1690.179,,6,Millions
DATAFLOW,OECD.STI.PIE:DSD_TIVA_IMGRVA@DF_IMGRVA(1.1),Trade in Value Added (TiVA) 2025 edition: Origin of value added in gross imports,I,IMGRVA,Origin of value added in gross imports,GBR,United Kingdom,HKG,Hong Kong (China),W,World,C26,"Manufacture of computer, electronic and optical products",USD,US dollar,A,Annual,1998,,120.613,,6,Millions
