year,country_code,oecd_country_label,value_added_usd_millions,country,all_origin_value_added_usd_millions,five_origin_value_added_usd_millions,share_of_all_c26_import_content,share_within_five_origins,five_origin_share_of_all
2012,JPN,Japan,2211.838,Japan,42633.799,13303.430999999999,0.05187991809033955,0.16626071875743936,0.3120395393335696
2012,KOR,Korea,1476.99,South Korea,42633.799,13303.430999999999,0.034643640366179895,0.11102323904261992,0.3120395393335696
2012,TWN,Chinese Taipei,1556.388,Taiwan,42633.799,13303.430999999999,0.0365059656072404,0.11699147385362468,0.3120395393335696
2013,CHN,China (People’s Republic of),8831.724,China,45907.499,14140.407,0.19238085699244908,0.624573535966822,0.30801954600053466
2013,HKG,Hong Kong (China),75.014,Hong Kong,45907.499,14140.407,0.0016340249770522238,0.005304939242555041,0.30801954600053466
2013,JPN,Japan,1992.612,Japan,45907.499,14140.407,0.043404934779827584,0.140916170234704,0.30801954600053466
2013,KOR,Korea,1569.185,South Korea,45907.499,14140.407,0.03418145257706153,0.11097169975376239,0.30801954600053466
2013,TWN,Chinese Taipei,1671.872,Taiwan,45907.499,14140.407,0.03641827667414424,0.1182336548021567,0.30801954600053466
2014,CHN,China (People’s Republic of),10155.729,China,49007.43,16016.694999999998,0.2072283529252605,0.6340714485728798,0.32682176967859766
2014,HKG,Hong Kong (China),65.672,Hong Kong,49007.43,16016.694999999998,0.0013400417038804116,0.004100221674946049,0.32682176967859766
2014,JPN,Japan,2112.763,Japan,49007.43,16016.694999999998,0.04311107519818933,0.13191004760969727,0.32682176967859766
2014,KOR,Korea,1640.471,South Korea,49007.43,16016.694999999998,0.033473924260056076,0.10242256595383756,0.32682176967859766
2014,TWN,Chinese Taipei,2042.06,Taiwan,49007.43,16016.694999999998,0.04166837559121137,0.12749571618863942,0.32682176967859766
2015,CHN,China (People’s Republic of),9946.21,China,44772.047,14996.322,0.22215222815253455,0.6632432939223364,0.33494832166150457
2015,HKG,Hong Kong (China),48.611,Hong Kong,44772.047,14996.322,0.0010857444154831696,0.0032415281560371936,0.33494832166150457
2015,JPN,Japan,1979.629,Japan,44772.047,14996.322,0.04421573576924012,0.13200763493875364,0.33494832166150457
2015,KOR,Korea,1377.22,South Korea,44772.047,14996.322,0.030760711030255107,0.0918371851444641,0.33494832166150457
2015,TWN,Chinese Taipei,1644.652,Taiwan,44772.047,14996.322,0.03673390229399161,0.10967035783840864,0.33494832166150457
2016,CHN,China (People’s Republic of),9261.562,China,42463.933,14436.101999999999,0.21810419680155393,0.6415555944395517,0.3399614915556691
2016,HKG,Hong Kong (China),57.711,Hong Kong,42463.933,14436.101999999999,0.0013590592279806018,0.003997685801887518,0.3399614915556691
2016,JPN,Japan,1982.721,Japan,42463.933,14436.101999999999,0.04669188320356478,0.13734462391579114,0.3399614915556691
2016,KOR,Korea,1443.929,South Korea,42463.933,14436.101999999999,0.03400365670320741,0.10002208352365481,0.3399614915556691
2016,TWN,Chinese Taipei,1690.179,Taiwan,42463.933,14436.101999999999,0.03980269561936244,0.11708001231911497,0.3399614915556691
2017,CHN,China (People’s Republic of),9451.206,China,41658.102,14440.379,0.22687557872895892,0.6544984726508909,0.34664034861693893
2017,HKG,Hong Kong (China),48.181,Hong Kong,41658.102,14440.379,0.0011565817376893454,0.0033365467762307343,0.34664034861693893
2017,JPN,Japan,1881.379,Japan,41658.102,14440.379,0.045162379217372886,0.1302859848761587,0.34664034861693893
2017,KOR,Korea,1458.271,South Korea,41658.102,14440.379,0.035005699491541885,0.10098564587536102,0.34664034861693893
2017,TWN,Chinese Taipei,1601.342,Taiwan,41658.102,14440.379,0.038440109441375894,0.11089334982135857,0.34664034861693893
2018,CHN,China (People’s Republic of),11384.927,China,45871.939,16569.139,0.2481893560243878,0.6871163915035055,0.3612042429686698
2018,HKG,Hong Kong (China),41.235,Hong Kong,45871.939,16569.139,0.0008989155657884878,0.0024886628086106346,0.3612042429686698
2018,JPN,Japan,1991.649,Japan,45871.939,16569.139,0.04341758912785439,0.12020232312614433,0.3612042429686698
2018,KOR,Korea,1574.032,South Korea,45871.939,16569.139,0.03431361381955099,0.09499781491361742,0.3612042429686698
2018,TWN,Chinese Taipei,1577.296,Taiwan,45871.939,16569.139,0.03438476843108813,0.09519480764812221,0.3612042429686698
2019,CHN,China (People’s Republic of),14175.665,China,48548.604,19525.376,0.2919891373189639,0.7260123953566887,0.40218202772627615
2019,HKG,Hong Kong (China),51.969,Hong Kong,48548.604,19525.376,0.0010704530247666853,0.0026616132769991217,0.40218202772627615
2019,JPN,Japan,1870.561,Japan,48548.604,19525.376,0.03852965576517916,0.09580153539680875,0.40218202772627615
2019,KOR,Korea,1607.565,South Korea,48548.604,19525.376,0.033112486612385396,0.08233208927705157,0.40218202772627615
2019,TWN,Chinese Taipei,1819.616,Taiwan,48548.604,19525.376,0.037480295004980985,0.09319236669245191,0.40218202772627615
2020,CHN,China (People’s Republic of),16733.205,China,47318.969,22058.808,0.3536257309410102,0.7585724940350358,0.4661726251896993
2020,HKG,Hong Kong (China),55.926,Hong Kong,47318.969,22058.808,0.0011818938827682405,0.0025353137848609045,0.4661726251896993
2020,JPN,Japan,1583.533,Japan,47318.969,22058.808,0.03346507824377999,0.07178687987129675,0.4661726251896993
2020,KOR,Korea,1609.635,South Korea,47318.969,22058.808,0.03401669634856161,0.07297017137100065,0.4661726251896993
2020,TWN,Chinese Taipei,2076.509,Taiwan,47318.969,22058.808,0.0438832257735793,0.09413514093780588,0.4661726251896993
2021,CHN,China (People’s Republic of),17300.354,China,45819.216,22648.979,0.3775785687821459,0.763846970761905,0.4943117970416604
2021,HKG,Hong Kong (China),50.273,Hong Kong,45819.216,22648.979,0.0010972034091547966,0.0022196585550280216,0.4943117970416604
2021,JPN,Japan,1310.616,Japan,45819.216,22648.979,0.028604068651021875,0.05786644952074882,0.4943117970416604
2021,KOR,Korea,1855.661,South Korea,45819.216,22648.979,0.040499623564052255,0.08193133120923464,0.4943117970416604
2021,TWN,Chinese Taipei,2132.075,Taiwan,45819.216,22648.979,0.04653233263528559,0.09413558995308353,0.4943117970416604
2022,CHN,China (People’s Republic of),20385.539,China,51518.326,26935.214,0.39569490281962966,0.7568359768739911,0.5228278185902236
2022,HKG,Hong Kong (China),52.346,Hong Kong,51518.326,26935.214,0.0010160656229396894,0.0019434039024156257,0.5228278185902236
2022,JPN,Japan,1628.34,Japan,51518.326,26935.214,0.031607005243143964,0.060453947015234405,0.5228278185902236
2022,KOR,Korea,2119.778,South Korea,51518.326,26935.214,0.04114609624544089,0.07869913340952107,0.5228278185902236
2022,TWN,Chinese Taipei,2749.211,Taiwan,51518.326,26935.214,0.05336374865906939,0.10206753879883783,0.5228278185902236
